Symbol,Action,Qty,Price,Date,Trade_ID
BAJFINANCE,BUY,1,802.5,2026-03-30,9345279.0
WATERBASE,BUY,2,38.45,2026-03-30,5149700.0
BEL,BUY,2,400.0,2026-03-30,7816520.0
IDEAFORGE,BUY,2,375.0,2026-03-30,211481928.0
BAJFINANCE,BUY,1,819.0,2026-03-30,3058684.0
BSE,BUY,5,2708.0,2026-03-30,1818404.0
AUBANK,BUY,2,860.8,2026-03-30,1424331.0
HAL,BUY,1,3570.9,2026-03-30,201247749.0
LT,BUY,2,3561.0,2026-03-27,402467349.0
AVALON,SELL,10,992.7,2026-03-25,1943402.0
AVALON,BUY,10,970.9,2026-03-25,708360.0
YESBANK,BUY,103,18.05,2026-03-24,601117055.0
YESBANK,BUY,197,18.05,2026-03-24,601117056.0
LUMAXIND,BUY,1,5118.0,2026-03-19,400849983.0
LUMAXTECH,BUY,1,1595.9,2026-03-19,400804809.0
LUMAXIND,BUY,1,5204.5,2026-03-18,401747074.0
SMLMAH,BUY,1,4119.0,2026-03-18,601796034.0
LUMAXTECH,BUY,1,1595.6,2026-03-18,401580501.0
LUMAXTECH,BUY,1,1597.3,2026-03-18,401562136.0
APOLLO,BUY,2,204.21,2026-03-18,267397.0
APOLLO,BUY,8,204.25,2026-03-18,267398.0
DATAPATTNS,BUY,1,3060.0,2026-03-16,209253010.0
IDEA,BUY,500,9.3,2026-03-13,209177965.0
IDEA,BUY,500,9.3,2026-03-13,205733692.0
BSE,SELL,12,2857.5,2026-03-10,6319754.0
KERNEX,BUY,5,995.4,2026-03-09,401825660.0
KERNEX,BUY,4,995.4,2026-03-09,401825661.0
PNB,BUY,20,112.33,2026-03-09,401430311.0
AUBANK,BUY,2,937.65,2026-03-09,1132485.0
AUBANK,BUY,1,937.9,2026-03-09,1119982.0
AUBANK,BUY,2,937.9,2026-03-09,1119983.0
CANBK,BUY,10,137.54,2026-03-09,883213.0
DATAPATTNS,BUY,1,3397.7,2026-03-09,201213349.0
YESBANK,BUY,134,19.38,2026-03-09,600730947.0
YESBANK,BUY,41,19.38,2026-03-09,600730092.0
YESBANK,BUY,25,19.38,2026-03-09,600730761.0
AUBANK,SELL,5,972.6,2026-03-06,1793529.0
DATAPATTNS,BUY,1,3527.0,2026-03-06,201584157.0
SMLMAH,BUY,1,4400.0,2026-03-05,601299679.0
APEX,BUY,3,377.0,2026-03-02,7462150.0
MAHABANK,BUY,20,71.9,2026-03-02,409090382.0
UNIONBANK,BUY,20,197.58,2026-03-02,609397655.0
PNB,BUY,20,124.7,2026-03-02,10266900.0
CANBK,BUY,50,152.05,2026-03-02,5734931.0
YESBANK,BUY,370,20.02,2026-03-02,608724994.0
YESBANK,BUY,3,20.02,2026-03-02,608723257.0
YESBANK,BUY,4,20.02,2026-03-02,608722993.0
YESBANK,BUY,2,20.02,2026-03-02,608722694.0
YESBANK,BUY,1,20.02,2026-03-02,608722273.0
YESBANK,BUY,3,20.02,2026-03-02,608721151.0
YESBANK,BUY,500,20.02,2026-03-02,608721157.0
YESBANK,BUY,10,20.02,2026-03-02,608719863.0
YESBANK,BUY,193,20.02,2026-03-02,608718913.0
YESBANK,BUY,114,20.02,2026-03-02,608718938.0
IDEA,BUY,500,10.15,2026-03-02,207244403.0
RMDRIP,BUY,20,122.39,2026-02-24,604377429.0
RNBDENIMS,BUY,20,198.7,2026-02-24,603982643.0
MTARTECH,BUY,2,3695.0,2026-02-23,404310019.0
IDEA,BUY,2000,10.98,2026-02-23,202311314.0
PNB,SELL,1,132.29,2026-02-23,401508050.0
PNB,SELL,19,132.25,2026-02-23,401508051.0
CANBK,SELL,30,156.39,2026-02-23,1171603.0
AUBANK,BUY,5,953.0,2026-02-23,1126434.0
AMBER,BUY,1,7749.5,2026-02-23,374353.0
NETWEB,BUY,5,3604.7,2026-02-23,400322499.0
IDEA,BUY,2000,11.15,2026-02-20,207148975.0
IDEA,BUY,1000,11.18,2026-02-20,207104133.0
IDEA,BUY,124,11.2,2026-02-20,207091069.0
IDEA,BUY,1,11.2,2026-02-20,207091070.0
IDEA,BUY,875,11.2,2026-02-20,207091071.0
NETWEB,SELL,3,3530.0,2026-02-20,401806183.0
NETWEB,BUY,3,3397.5,2026-02-20,400311286.0
WATERBASE,BUY,2,60.0,2026-02-19,4301200.0
APEX,BUY,2,441.5,2026-02-19,5030015.0
IDEA,BUY,4000,11.2,2026-02-19,208294705.0
NETWEB,SELL,2,3520.0,2026-02-19,407352097.0
