id,timestamp,symbol,exchange,action,quantity,price,gross_amount,brokerage_fee,stt_fee,exchange_fee,gst_fee,sebi_fee,stamp_duty_fee,total_fees,net_amount,strategy,pnl_gross,pnl_net,pnl_pct_gross,pnl_pct_net,reason,broker,source,entry_timestamp,hold_duration_days,rsi,market_trend,atr,adx,macd_val,macd_signal,macd_hist,date
8,2026-01-27 22:29:56.045317,TATSILV,NSE,SELL,5,32.52,162.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.60000000000002,RSI (Paper),20.650000000000013,-2.9799999999999827,14.547375836562178,-1.7997342674235917,Paper Trade SELL,PAPER,BOT,,,0.0,,,,,,,27-01-2026
9,2026-01-27 22:29:56.078903,TATSILV,NSE,SELL,5,32.52,162.6,20.0,0.16,0.01,3.6,0.0,0.0,23.77,138.83,RSI,20.650000000000013,-26.74999999999999,14.547375836562178,-16.155332769658166,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,27-01-2026
10,2026-01-27 23:15:28.422520,MICEL,BSE,BUY,5,35.72,178.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.6,RSI (Paper),,,,,Paper Trade BUY,PAPER,BOT,,,0.0,,,,,,,27-01-2026
11,2026-01-27 23:15:28.446951,MICEL,BSE,BUY,5,35.72,178.6,20.0,0.0,0.01,3.6,0.0,0.03,23.63,202.23,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,,27-01-2026
12,2026-01-27 23:15:52.408347,MOSCHIP,NSE,BUY,5,170.3,851.5,20.0,0.0,0.03,3.6,0.0,0.13,23.76,875.26,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,,27-01-2026
13,2026-01-27 23:16:55.193258,TATASTEEL,NSE,BUY,5,192.28,961.4,20.0,0.0,0.03,3.6,0.0,0.14,23.78,985.18,RSI,,,,,RSI-based BUY,mstock,BOT,,,0.0,,,,,,,27-01-2026
30,2026-02-13 17:11:41.478470,HINDCOPPER,NSE,SELL,60,597.9,35874.0,20.0,35.87,1.24,3.6,0.04,0.0,60.75,35813.25,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,13-02-2026
35,2026-02-13 17:12:17.580589,GOLDCASE,NSE,SELL,300,24.0,7200.0,20.0,7.2,0.25,3.6,0.01,0.0,31.06,7168.94,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,13-02-2026
39,2026-02-13 17:51:34.633798,HINDCOPPER,NSE,SELL,60,592.85,35571.0,20.0,35.57,1.23,3.6,0.04,0.0,60.43,35510.57,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,13-02-2026
42,2026-02-16 15:41:34.710349,WALCHANNAG,NSE,SELL,100,168.31,16831.0,20.0,16.83,0.58,3.6,0.02,0.0,41.03,16789.97,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,16-02-2026
43,2026-02-16 15:41:39.583884,HINDCOPPER,NSE,SELL,60,575.95,34557.0,20.0,34.56,1.19,3.6,0.03,0.0,59.38,34497.62,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,16-02-2026
44,2026-02-16 15:41:44.122058,APOLLO,NSE,SELL,40,230.0,9200.0,20.0,9.2,0.32,3.6,0.01,0.0,33.13,9166.87,RSI,,,,,RSI-based SELL,mstock,BOT,,,0.0,,,,,,,16-02-2026
