Trade Date,Exchange,Buy / Sell,Scrip / Contract,Qty,Price,Trade Id,symbol,side,qty,price
23-02-2026,NSEEQ,Buy,AMBER-EQ,1.0,7749.5,374353.0,AMBER,BUY,1,7749.5
10-02-2026,NSEEQ,Buy,ANGELONE-EQ,1.0,2784.2,5796611.0,ANGELONE,BUY,1,2784.2
13-02-2026,NSEEQ,Buy,ANGELONE-EQ,1.0,2694.8,1057461.0,ANGELONE,BUY,1,2694.8
16-02-2026,NSEEQ,Buy,ANGELONE-EQ,2.0,2573.4,5716155.0,ANGELONE,BUY,2,2573.4
16-02-2026,NSEEQ,Buy,ANGELONE-EQ,2.0,2573.7,5715426.0,ANGELONE,BUY,2,2573.7
16-02-2026,NSEEQ,Sell,ANGELONE-EQ,1.0,2555.8,3842078.0,ANGELONE,SELL,1,2555.8
16-02-2026,NSEEQ,Sell,ANGELONE-EQ,1.0,2554.0,3811675.0,ANGELONE,SELL,1,2554.0
16-02-2026,NSEEQ,Buy,ANGELONE-EQ,1.0,2553.4,722019.0,ANGELONE,BUY,1,2553.4
02-03-2026,NSEEQ,Buy,APEX-EQ,3.0,377.0,7462150.0,APEX,BUY,3,377.0
19-02-2026,NSEEQ,Buy,APEX-EQ,2.0,441.5,5030015.0,APEX,BUY,2,441.5
01-02-2026,NSEEQ,Buy,APOLLO-EQ,20.0,253.25,5458698.0,APOLLO,BUY,20,253.25
01-02-2026,NSEEQ,Buy,APOLLO-EQ,20.0,252.0,3642713.0,APOLLO,BUY,20,252.0
13-02-2026,NSEEQ,Buy,APOLLO-EQ,34.0,230.75,7243763.0,APOLLO,BUY,34,230.75
13-02-2026,NSEEQ,Buy,APOLLO-EQ,6.0,230.75,7243764.0,APOLLO,BUY,6,230.75
13-02-2026,NSEEQ,Sell,APOLLO-EQ,29.0,231.9,6957793.0,APOLLO,SELL,29,231.9
13-02-2026,NSEEQ,Sell,APOLLO-EQ,11.0,231.85,6957794.0,APOLLO,SELL,11,231.85
13-02-2026,NSEEQ,Buy,APOLLO-EQ,40.0,231.8,6827429.0,APOLLO,BUY,40,231.8
16-02-2026,NSEEQ,Buy,APOLLO-EQ,40.0,230.5,5726440.0,APOLLO,BUY,40,230.5
16-02-2026,NSEEQ,Sell,APOLLO-EQ,15.0,230.05,3807192.0,APOLLO,SELL,15,230.05
16-02-2026,NSEEQ,Sell,APOLLO-EQ,25.0,230.05,3807193.0,APOLLO,SELL,25,230.05
23-02-2026,NSEEQ,Buy,AUBANK-EQ,5.0,953.0,1126434.0,AUBANK,BUY,5,953.0
03-02-2026,NSEEQ,Sell,AVALON-EQ,5.0,1022.7,1586380.0,AVALON,SELL,5,1022.7
05-02-2026,NSEEQ,Buy,AVALON-EQ,25.0,972.0,1256027.0,AVALON,BUY,25,972.0
05-02-2026,NSEEQ,Buy,AVALON-EQ,2.0,972.0,1256028.0,AVALON,BUY,2,972.0
05-02-2026,NSEEQ,Buy,AVALON-EQ,3.0,968.0,1192061.0,AVALON,BUY,3,968.0
05-02-2026,NSEEQ,Buy,AVALON-EQ,1.0,1018.8,399134.0,AVALON,BUY,1,1018.8
05-02-2026,NSEEQ,Buy,AVALON-EQ,3.0,1018.85,399135.0,AVALON,BUY,3,1018.85
05-02-2026,NSEEQ,Buy,AVALON-EQ,26.0,1019.0,399136.0,AVALON,BUY,26,1019.0
30-01-2026,NSEEQ,Buy,AVALON-EQ,5.0,840.0,807073.0,AVALON,BUY,5,840.0
09-01-2026,NSEEQ,Buy,BAJFINANCE-EQ,5.0,970.0,2926644.0,BAJFINANCE,BUY,5,970.0
12-02-2026,NSEEQ,Buy,BHARATFORG-EQ,1.0,1746.6,5981640.0,BHARATFORG,BUY,1,1746.6
20-01-2026,BSEEQ,Buy,BIRET-IF,1.0,344.8,1120500.0,BIRET-IF,BUY,1,344.8
01-02-2026,NSEEQ,Buy,BSE-EQ,10.0,2600.0,4903387.0,BSE,BUY,10,2600.0
01-02-2026,NSEEQ,Buy,BSE-EQ,10.0,2571.2,4727562.0,BSE,BUY,10,2571.2
01-02-2026,NSEEQ,Buy,BSE-EQ,9.0,2500.0,4265458.0,BSE,BUY,9,2500.0
01-02-2026,NSEEQ,Buy,BSE-EQ,1.0,2517.3,3455625.0,BSE,BUY,1,2517.3
04-02-2026,NSEEQ,Sell,BSE-EQ,34.0,2885.5,788995.0,BSE,SELL,34,2885.5
05-01-2026,NSEEQ,Buy,BSE-EQ,5.0,2688.5,3918406.0,BSE,BUY,5,2688.5
13-02-2026,NSEEQ,Buy,BSE-EQ,2.0,3025.9,7205057.0,BSE,BUY,2,3025.9
13-02-2026,NSEEQ,Sell,BSE-EQ,1.0,3023.5,6961926.0,BSE,SELL,1,3023.5
13-02-2026,NSEEQ,Buy,BSE-EQ,1.0,3024.0,6896789.0,BSE,BUY,1,3024.0
13-02-2026,NSEEQ,Buy,BSE-EQ,1.0,3024.0,6896790.0,BSE,BUY,1,3024.0
13-02-2026,NSEEQ,Sell,BSE-EQ,1.0,3023.6,5972950.0,BSE,SELL,1,3023.6
16-02-2026,NSEEQ,Buy,BSE-EQ,10.0,2808.6,768443.0,BSE,BUY,10,2808.6
02-03-2026,NSEEQ,Buy,CANBK-EQ,50.0,152.05,5734931.0,CANBK,BUY,50,152.05
13-02-2026,NSEEQ,Buy,CANBK-EQ,25.0,141.79,7110105.0,CANBK,BUY,25,141.79
13-02-2026,NSEEQ,Buy,CANBK-EQ,25.0,141.8,6937332.0,CANBK,BUY,25,141.8
13-02-2026,NSEEQ,Sell,CANBK-EQ,13.0,141.9,5975356.0,CANBK,SELL,13,141.9
13-02-2026,NSEEQ,Sell,CANBK-EQ,1.0,141.9,5975357.0,CANBK,SELL,1,141.9
13-02-2026,NSEEQ,Sell,CANBK-EQ,6.0,141.9,5975358.0,CANBK,SELL,6,141.9
16-02-2026,NSEEQ,Buy,CANBK-EQ,30.0,145.71,5744271.0,CANBK,BUY,30,145.71
16-02-2026,NSEEQ,Sell,CANBK-EQ,10.0,144.51,3839662.0,CANBK,SELL,10,144.51
16-02-2026,NSEEQ,Sell,CANBK-EQ,10.0,144.61,3808093.0,CANBK,SELL,10,144.61
23-02-2026,NSEEQ,Sell,CANBK-EQ,30.0,156.39,1171603.0,CANBK,SELL,30,156.39
29-01-2026,NSEEQ,Buy,CANBK-EQ,20.0,157.74,3761883.0,CANBK,BUY,20,157.74
01-02-2026,NSEEQ,Buy,DATAPATTNS-EQ,5.0,2672.0,205409931.0,DATAPATTNS,BUY,5,2672.0
06-02-2026,NSEEQ,Buy,DATAPATTNS-EQ,2.0,2580.0,202430113.0,DATAPATTNS,BUY,2,2580.0
09-02-2026,NSEEQ,Sell,DATAPATTNS-EQ,1.0,2766.7,201273234.0,DATAPATTNS,SELL,1,2766.7
09-02-2026,NSEEQ,Sell,DATAPATTNS-EQ,4.0,2766.7,201273235.0,DATAPATTNS,SELL,4,2766.7
